timestamp,service,cpu_percent,mem_used_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1778959337256395649,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959337256395649,bench_pgbouncer,0.53,2380267,33651068764,0.01,622000000,603000000,0,8190,1
1778959337256395649,bench_postgres,0.83,74228695,4294967296,1.73,324000000,310000000,532000,1500000000,8
1778959340675916705,bench_apache,8.63,165779865,2147483648,7.72,121000000,735000000,0,36500000,28
1778959340675916705,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959340675916705,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959340675916705,bench_pgbouncer,0.55,2281701,33651068764,0.01,622000000,603000000,0,8190,1
1778959340675916705,bench_postgres,0.97,74029465,4294967296,1.72,324000000,310000000,532000,1500000000,8
1778959344053935235,bench_apache,8.90,165465292,2147483648,7.71,121000000,736000000,0,36500000,28
1778959344053935235,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959344053935235,bench_django,0.05,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959344053935235,bench_pgbouncer,0.65,2154823,33651068764,0.01,622000000,603000000,0,8190,1
1778959344053935235,bench_postgres,4.18,75193384,4294967296,1.75,324000000,310000000,532000,1500000000,8
1778959347439787761,bench_apache,7.39,165989580,2147483648,7.73,121000000,736000000,0,36500000,28
1778959347439787761,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959347439787761,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959347439787761,bench_pgbouncer,0.45,2006974,33651068764,0.01,622000000,604000000,0,8190,1
1778959347439787761,bench_postgres,0.91,75119984,4294967296,1.75,324000000,310000000,532000,1500000000,8
1778959350827752543,bench_apache,9.42,165465292,2147483648,7.70,121000000,736000000,0,36500000,28
1778959350827752543,bench_nginx,0.01,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959350827752543,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959350827752543,bench_pgbouncer,0.59,2412773,33651068764,0.01,622000000,604000000,0,8190,1
1778959350827752543,bench_postgres,1.21,74197237,4294967296,1.73,324000000,310000000,532000,1500000000,8
1778959354228393519,bench_apache,9.00,165884723,2147483648,7.73,121000000,737000000,0,36500000,28
1778959354228393519,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959354228393519,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959354228393519,bench_pgbouncer,0.63,2514485,33651068764,0.01,622000000,604000000,0,8190,1
1778959354228393519,bench_postgres,1.29,74700554,4294967296,1.74,324000000,310000000,532000,1500000000,8
1778959357613484898,bench_apache,8.77,165884723,2147483648,7.73,121000000,737000000,0,36500000,28
1778959357613484898,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959357613484898,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959357613484898,bench_pgbouncer,0.61,2294284,33651068764,0.01,622000000,604000000,0,8190,1
1778959357613484898,bench_postgres,1.00,74564239,4294967296,1.74,324000000,310000000,532000,1500000000,8
1778959361005916423,bench_apache,8.70,166094438,2147483648,7.73,121000000,738000000,0,36500000,28
1778959361005916423,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959361005916423,bench_django,0.05,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959361005916423,bench_pgbouncer,0.64,2371878,33651068764,0.01,622000000,604000000,0,8190,1
1778959361005916423,bench_postgres,1.15,74228695,4294967296,1.73,324000000,310000000,532000,1500000000,8
1778959364405676656,bench_apache,8.62,167772160,2147483648,7.81,121000000,738000000,0,36500000,29
1778959364405676656,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959364405676656,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959364405676656,bench_pgbouncer,0.61,2285895,33651068764,0.01,622000000,604000000,0,8190,1
1778959364405676656,bench_postgres,4.33,74889297,4294967296,1.74,324000000,310000000,532000,1510000000,8
1778959367793172301,bench_apache,8.76,167877017,2147483648,7.82,121000000,738000000,0,36600000,29
1778959367793172301,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959367793172301,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959367793172301,bench_pgbouncer,0.70,2469396,33651068764,0.01,622000000,604000000,0,8190,1
1778959367793172301,bench_postgres,1.19,74490839,4294967296,1.73,324000000,310000000,532000,1510000000,8
1778959371192608420,bench_apache,9.11,167352729,2147483648,7.79,121000000,739000000,0,36600000,29
1778959371192608420,bench_nginx,0.01,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959371192608420,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959371192608420,bench_pgbouncer,0.68,2318401,33651068764,0.01,623000000,604000000,0,8190,1
1778959371192608420,bench_postgres,1.33,74511810,4294967296,1.73,324000000,310000000,532000,1510000000,8
1778959374593791092,bench_apache,9.52,165779865,2147483648,7.72,121000000,739000000,0,36600000,28
1778959374593791092,bench_nginx,0.03,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959374593791092,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959374593791092,bench_pgbouncer,0.66,2174746,33651068764,0.01,623000000,604000000,0,8190,1
1778959374593791092,bench_postgres,1.27,74165780,4294967296,1.73,324000000,310000000,532000,1510000000,8
1778959377995586466,bench_apache,6.95,165570150,2147483648,7.71,121000000,739000000,0,36600000,28
1778959377995586466,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959377995586466,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959377995586466,bench_pgbouncer,0.43,2314207,33651068764,0.01,623000000,604000000,0,8190,1
1778959377995586466,bench_postgres,0.72,74690068,4294967296,1.74,324000000,310000000,532000,1510000000,8
1778959381404855555,bench_apache,8.70,165989580,2147483648,7.73,121000000,740000000,0,36600000,28
1778959381404855555,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959381404855555,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959381404855555,bench_pgbouncer,0.58,2310012,33651068764,0.01,623000000,604000000,0,8190,1
1778959381404855555,bench_postgres,0.83,74406952,4294967296,1.73,324000000,311000000,532000,1510000000,8
1778959384805786490,bench_apache,7.35,166199296,2147483648,7.74,122000000,740000000,0,36600000,28
1778959384805786490,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959384805786490,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959384805786490,bench_pgbouncer,0.45,2240806,33651068764,0.01,623000000,604000000,0,8190,1
1778959384805786490,bench_postgres,0.82,74878812,4294967296,1.74,324000000,311000000,532000,1510000000,8
1778959388202287789,bench_apache,7.58,165570150,2147483648,7.71,122000000,740000000,0,36600000,28
1778959388202287789,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959388202287789,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959388202287789,bench_pgbouncer,0.43,2395996,33651068764,0.01,623000000,605000000,0,8190,1
1778959388202287789,bench_postgres,0.99,74952212,4294967296,1.75,324000000,311000000,532000,1510000000,8
1778959391610523057,bench_apache,7.67,165675008,2147483648,7.72,122000000,741000000,0,36600000,28
1778959391610523057,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959391610523057,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959391610523057,bench_pgbouncer,0.55,2326790,33651068764,0.01,623000000,605000000,0,8190,1
1778959391610523057,bench_postgres,0.83,74826383,4294967296,1.74,324000000,311000000,532000,1510000000,8
1778959394989652188,bench_apache,5.66,165884723,2147483648,7.72,122000000,741000000,0,36600000,28
1778959394989652188,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959394989652188,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959394989652188,bench_pgbouncer,0.35,2412773,33651068764,0.01,623000000,605000000,0,8190,1
1778959394989652188,bench_postgres,4.06,74994155,4294967296,1.75,324000000,311000000,532000,1510000000,8
1778959398402813234,bench_apache,8.10,165779865,2147483648,7.72,122000000,741000000,0,36700000,28
1778959398402813234,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959398402813234,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959398402813234,bench_pgbouncer,0.52,2297430,33651068764,0.01,623000000,605000000,0,8190,1
1778959398402813234,bench_postgres,1.26,74480353,4294967296,1.73,324000000,311000000,532000,1510000000,8
1778959401812532457,bench_apache,7.00,165884723,2147483648,7.73,122000000,741000000,0,36700000,28
1778959401812532457,bench_nginx,0.01,192728268,2147483648,8.97,69500000,425000000,0,12300,19
1778959401812532457,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959401812532457,bench_pgbouncer,0.40,2449473,33651068764,0.01,623000000,605000000,0,8190,1
1778959401812532457,bench_postgres,1.15,74406952,4294967296,1.73,325000000,311000000,532000,1510000000,8
1778959405210418516,bench_apache,7.96,168086732,2147483648,7.83,122000000,742000000,0,36700000,29
1778959405210418516,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959405210418516,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959405210418516,bench_pgbouncer,0.54,2047868,33651068764,0.01,623000000,605000000,0,8190,1
1778959405210418516,bench_postgres,4.58,74648125,4294967296,1.74,325000000,311000000,532000,1510000000,8
1778959408610722690,bench_apache,7.91,167772160,2147483648,7.81,122000000,742000000,0,36700000,29
1778959408610722690,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959408610722690,bench_django,0.03,133169152,2147483648,6.20,75900000,419000000,0,0,9
1778959408610722690,bench_pgbouncer,0.56,2371878,33651068764,0.01,623000000,605000000,0,8190,1
1778959408610722690,bench_postgres,1.01,74648125,4294967296,1.74,325000000,311000000,532000,1510000000,8
1778959412016968052,bench_apache,8.33,167352729,2147483648,7.79,122000000,743000000,0,36700000,29
1778959412016968052,bench_nginx,0.03,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959412016968052,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959412016968052,bench_pgbouncer,0.68,2125463,33651068764,0.01,624000000,605000000,0,8190,1
1778959412016968052,bench_postgres,1.44,74501324,4294967296,1.73,325000000,311000000,532000,1510000000,8
1778959415435381018,bench_apache,8.40,165884723,2147483648,7.72,122000000,743000000,0,36700000,28
1778959415435381018,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959415435381018,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959415435381018,bench_pgbouncer,0.66,2490368,33651068764,0.01,624000000,605000000,0,8190,1
1778959415435381018,bench_postgres,1.13,74564239,4294967296,1.74,325000000,311000000,532000,1510000000,8
1778959418835144560,bench_apache,7.44,165989580,2147483648,7.73,122000000,743000000,0,36700000,28
1778959418835144560,bench_nginx,0.03,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959418835144560,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959418835144560,bench_pgbouncer,0.48,2380267,33651068764,0.01,624000000,605000000,0,8190,1
1778959418835144560,bench_postgres,1.43,75308728,4294967296,1.75,325000000,311000000,532000,1510000000,8
1778959422236627494,bench_apache,8.38,165884723,2147483648,7.73,122000000,744000000,0,36700000,28
1778959422236627494,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959422236627494,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959422236627494,bench_pgbouncer,0.53,2621440,33651068764,0.01,624000000,605000000,0,8190,1
1778959422236627494,bench_postgres,1.35,74186752,4294967296,1.73,325000000,311000000,532000,1510000000,8
1778959425626583655,bench_apache,9.66,165779865,2147483648,7.72,122000000,744000000,0,36700000,28
1778959425626583655,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959425626583655,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959425626583655,bench_pgbouncer,0.62,2432696,33651068764,0.01,624000000,605000000,0,8190,1
1778959425626583655,bench_postgres,4.42,74249666,4294967296,1.73,325000000,311000000,532000,1510000000,8
1778959429035831443,bench_apache,9.09,165989580,2147483648,7.73,122000000,744000000,0,36800000,28
1778959429035831443,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959429035831443,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959429035831443,bench_pgbouncer,0.75,2453667,33651068764,0.01,624000000,606000000,0,8190,1
1778959429035831443,bench_postgres,0.93,74469867,4294967296,1.73,325000000,311000000,532000,1510000000,8
